,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand_High,PriceBand_Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
0,BSEFO,824627,2,SENSEX,SENSEX2510384700CE,IO,SENSEX-IO,12500300824627,2.95,0.05,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,84700,3,SENSEX 03JAN2025 CE 84700,1,1,SENSEX2510384700CE
1,BSEFO,822336,2,SENSEX,SENSEX2510782100PE,IO,SENSEX-IO,12500700822336,6460,1269.95,1000,0.05,20,1,-1,SENSEX,2025-01-07T00:00:00,82100,4,SENSEX 07JAN2025 PE 82100,1,1,SENSEX2510782100PE
2,BSEFO,825733,2,SENSEX,SENSEX2512183800CE,IO,SENSEX-IO,12502100825733,264.6,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-21T00:00:00,83800,3,SENSEX 21JAN2025 CE 83800,1,1,SENSEX2512183800CE
3,BSEFO,838819,2,SENSEX,SENSEX2520477700CE,IO,SENSEX-IO,12503500838819,3994.1,671.75,1000,0.05,20,1,-1,SENSEX,2025-02-04T00:00:00,77700,3,SENSEX 04FEB2025 CE 77700,1,1,SENSEX2520477700CE
4,BSEFO,842860,2,SENSEX,SENSEX26JUN82000PE,IO,SENSEX-IO,12618100842860,5569.85,4142.95,1000,0.05,20,1,-1,SENSEX,2026-06-30T00:00:00,82000,4,SENSEX 30JUN2026 PE 82000,1,1,SENSEX26JUN82000PE
5,BSEFO,824168,2,SENSEX,SENSEX2511476900PE,IO,SENSEX-IO,12501400824168,1288.65,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-14T00:00:00,76900,4,SENSEX 14JAN2025 PE 76900,1,1,SENSEX2511476900PE
6,BSEFO,1164209,2,SENSEX,SENSEX25JAN76700PE,IO,SENSEX-IO,12502801164209,1562.7,131.6,1000,0.05,10,1,-1,SENSEX,2025-01-28T00:00:00,76700,4,SENSEX 28JAN2025 PE 76700,1,1,SENSEX25JAN76700PE
7,BSEFO,841871,2,SENSEX,SENSEX2521180200CE,IO,SENSEX-IO,12504200841871,2438.65,294.9,1000,0.05,20,1,-1,SENSEX,2025-02-11T00:00:00,80200,3,SENSEX 11FEB2025 CE 80200,1,1,SENSEX2521180200CE
8,BSEFO,1164920,2,SENSEX,SENSEX25JAN78000PE,IO,SENSEX-IO,12502801164920,2116.1,0.05,1000,0.05,10,1,-1,SENSEX,2025-01-28T00:00:00,78000,4,SENSEX 28JAN2025 PE 78000,1,1,SENSEX25JAN78000PE
9,BSEFO,1113298,2,SENSEX,SENSEX27DEC77000CE,IO,SENSEX-IO,12736201113298,20741.25,16005.05,1000,0.05,20,1,-1,SENSEX,2027-12-28T00:00:00,77000,3,SENSEX 28DEC2027 CE 77000,1,1,SENSEX27DEC77000CE
