,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand_High,PriceBand_Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
0,NSEFO,9574506,4,BERGEPAINT,BERGEPAINT25JAN25FEBFUT,FUTSTK,BERGEPAINT-FUTSTK,2100109574506,11.3,-11.3,52801,0.05,1320,1,-1,,2025-01-30T14:30:00,BERGEPAINT 30JAN27FEB SPD,1,1,BERGEPAINT25JAN25FEBFUT
1,NSEFO,10559186,4,JSWSTEEL,JSWSTEEL25JAN25FEBFUT,FUTSTK,JSWSTEEL-FUTSTK,2100110559186,22.7,-22.7,27001,0.05,675,1,-1,,2025-01-30T14:30:00,JSWSTEEL 30JAN27FEB SPD,1,1,JSWSTEEL25JAN25FEBFUT
2,NSEFO,10002706,4,INDIANB,INDIANB25JAN25FEBFUT,FUTSTK,INDIANB-FUTSTK,2100110002706,13.35,-13.35,38001,0.05,950,1,-1,,2025-01-30T14:30:00,INDIANB 30JAN27FEB SPD,1,1,INDIANB25JAN25FEBFUT
3,NSEFO,10920278,4,SBILIFE,SBILIFE25JAN25FEBFUT,FUTSTK,SBILIFE-FUTSTK,2100110920278,35,-35,15001,0.05,375,1,-1,,2025-01-30T14:30:00,SBILIFE 30JAN27FEB SPD,1,1,SBILIFE25JAN25FEBFUT
4,NSEFO,10529459,4,GUJGASLTD,GUJGASLTD25JAN25FEBFUT,FUTSTK,GUJGASLTD-FUTSTK,2100110529459,12.55,-12.55,50001,0.05,1250,1,-1,,2025-01-30T14:30:00,GUJGASLTD 30JAN27FEB SPD,1,1,GUJGASLTD25JAN25FEBFUT
5,NSEFO,9920177,4,HAVELLS,HAVELLS25FEB25MARFUT,FUTSTK,HAVELLS-FUTSTK,2100109920177,42.35,-42.35,15001,0.05,500,1,-1,,2025-02-27T14:30:00,HAVELLS 27FEB27MAR SPD,1,1,HAVELLS25FEB25MARFUT
6,NSEFO,10922859,4,SUNPHARMA,SUNPHARMA25JAN25FEBFUT,FUTSTK,SUNPHARMA-FUTSTK,2100110922859,47.5,-47.5,14001,0.05,350,1,-1,,2025-01-30T14:30:00,SUNPHARMA 30JAN27FEB SPD,1,1,SUNPHARMA25JAN25FEBFUT
7,NSEFO,10915099,4,PAGEIND,PAGEIND25JAN25FEBFUT,FUTSTK,PAGEIND-FUTSTK,2100110915099,1192,-1192,451,0.05,15,1,-1,,2025-01-30T14:30:00,PAGEIND 30JAN27FEB SPD,1,1,PAGEIND25JAN25FEBFUT
8,NSEFO,8998586,4,AARTIIND,AARTIIND25FEB25MARFUT,FUTSTK,AARTIIND-FUTSTK,2100108998586,10.4,-10.4,50001,0.05,1000,1,-1,,2025-02-27T14:30:00,AARTIIND 27FEB27MAR SPD,1,1,AARTIIND25FEB25MARFUT
9,NSEFO,10491359,4,CUMMINSIND,CUMMINSIND25JAN25FEBFUT,FUTSTK,CUMMINSIND-FUTSTK,2100110491359,82.4,-82.4,6001,0.05,150,1,-1,,2025-01-30T14:30:00,CUMMINSIND 30JAN27FEB SPD,1,1,CUMMINSIND25JAN25FEBFUT
